"rok","odvetvi","prumerna_mzda","potravina","prumerna_cena"
2006,Doprava a skladování,18993.750000000000,Konzumní brambory,12.074919999999986
2006,Doprava a skladování,18993.750000000000,Kuřata kuchaná celá,47.47376000000002
2006,Doprava a skladování,18993.750000000000,Máslo,104.38782666666712
2006,Doprava a skladování,18993.750000000000,Mléko polotučné pasterované,14.437840000000016
2006,Doprava a skladování,18993.750000000000,Mrkev,14.409266666666609
2006,Doprava a skladování,18993.750000000000,Papriky,35.31015999999996
2006,Doprava a skladování,18993.750000000000,Pečivo pšeničné bílé,38.59642666666676
2006,Doprava a skladování,18993.750000000000,"Pivo výčepní, světlé, lahvové",8.449613333333415
2006,Doprava a skladování,18993.750000000000,Pomeranče,24.733173333333237
2006,Doprava a skladování,18993.750000000000,Přírodní minerální voda uhličitá,7.687920000000012
2006,Doprava a skladování,18993.750000000000,Pšeničná mouka hladká,7.40757333333334
2006,Doprava a skladování,18993.750000000000,Rajská jablka červená kulatá,57.829613333333235
2006,Doprava a skladování,18993.750000000000,Rostlinný roztíratelný tuk,69.4521199999995
2006,Doprava a skladování,18993.750000000000,Rýže loupaná dlouhozrnná,21.289666666666704
2006,Doprava a skladování,18993.750000000000,Šunkový salám,116.77441333333294
2006,Doprava a skladování,18993.750000000000,Těstoviny vaječné,26.095533333333055
2006,Doprava a skladování,18993.750000000000,Vejce slepičí čerstvá,23.494840000000263
2006,Doprava a skladování,18993.750000000000,Vepřová pečeně s kostí,105.17778666666587
2006,Informační a komunikační činnosti,34942.000000000000,Banány žluté,27.304639999999928
2006,Informační a komunikační činnosti,34942.000000000000,Cukr krystalový,21.726613333333294
2006,Informační a komunikační činnosti,34942.000000000000,Eidamská cihla,110.94665333333282
2006,Informační a komunikační činnosti,34942.000000000000,Hovězí maso zadní bez kosti,166.33739999999747
2006,Informační a komunikační činnosti,34942.000000000000,Chléb konzumní kmínový,16.123639999999945
2006,Informační a komunikační činnosti,34942.000000000000,Jablka konzumní,30.7145466666665
2006,Informační a komunikační činnosti,34942.000000000000,Jogurt bílý netučný,5.829359999999937
2006,Informační a komunikační činnosti,34942.000000000000,Kapr živý,69.34977777777766
